Size,Density,IterativeGreedy_Value,IterativeGreedy_Time
1000,0.1,53.166666666666664,9989917132.966667
1000,0.2,29.4,9984149389.0
1000,0.3,20.533333333333335,9984031677.466667
1000,0.4,15.366666666666667,9980602444.633333
1000,0.5,12.266666666666667,9974979468.833334
1000,0.6,9.8,9970129532.366667
1000,0.7,7.966666666666667,9978508041.866667
1000,0.8,6.366666666666666,9966648153.666666
1000,0.9,5.066666666666666,9973058339.366667
2000,0.1,57.96666666666667,9964367551.4
2000,0.2,31.266666666666666,9949677461.4
2000,0.3,21.466666666666665,9931019164.666666
2000,0.4,15.733333333333333,9952318273.8
2000,0.5,12.666666666666666,9904490743.0
2000,0.6,10.133333333333333,9899074041.2
2000,0.7,8.066666666666666,9865592877.533333
2000,0.8,6.466666666666667,9900589017.133333
2000,0.9,4.966666666666667,9843847743.533333
3000,0.1,61.333333333333336,9891071399.5
3000,0.2,32.5,9854678135.666666
3000,0.3,22.2,9830251997.4
3000,0.4,16.333333333333332,9755303625.166666
3000,0.5,12.966666666666667,9840110036.633333
3000,0.6,10.166666666666666,9840630704.8
3000,0.7,8.233333333333333,9680956658.8
3000,0.8,6.466666666666667,9780104375.5
3000,0.9,5.033333333333333,9695867640.9
