Size,Density,Greedy_Value,Greedy_Time,GreedyRan_Value,GreedyRan_Time
1000,0.1,49.03333333333333,2471123.8666666667,49.333333333333336,7342392.166666667
1000,0.2,27.033333333333335,1626338.8,27.366666666666667,4191666.566666667
1000,0.3,17.933333333333334,1246366.8666666667,18.133333333333333,2970617.966666667
1000,0.4,13.366666666666667,920940.1666666666,13.166666666666666,2066140.3
1000,0.5,10.566666666666666,783416.1666666666,10.2,1591495.1666666667
1000,0.6,8.633333333333333,649449.0333333333,8.0,1376146.0
1000,0.7,6.633333333333334,576233.8,6.633333333333334,1190760.1666666667
1000,0.8,5.233333333333333,511905.8,5.333333333333333,1036411.5666666667
1000,0.9,3.933333333333333,399536.26666666666,4.066666666666666,864854.7666666667
2000,0.1,56.06666666666667,5718382.866666666,56.3,16010997.033333333
2000,0.2,29.933333333333334,3665864.3666666667,29.866666666666667,8104951.1
2000,0.3,19.766666666666666,2403024.566666667,19.833333333333332,5671397.766666667
2000,0.4,14.633333333333333,1980496.9333333333,14.333333333333334,4223337.933333334
2000,0.5,11.1,1650392.1333333333,11.333333333333334,3313142.2
2000,0.6,8.833333333333334,1485964.8666666667,8.9,2867082.7666666666
2000,0.7,7.366666666666666,1336680.2,7.033333333333333,2589184.7333333334
2000,0.8,5.733333333333333,1007020.0666666667,5.466666666666667,1999138.9
2000,0.9,4.3,852115.4333333333,4.166666666666667,1736740.7666666666
3000,0.1,59.5,8694890.766666668,59.233333333333334,23989382.3
3000,0.2,31.0,5090212.933333334,31.133333333333333,12402161.833333334
3000,0.3,20.733333333333334,4192346.7666666666,20.666666666666668,8416535.233333332
3000,0.4,15.366666666666667,3664849.2666666666,14.9,7665421.366666666
3000,0.5,11.7,2649189.1,11.633333333333333,5435147.266666667
3000,0.6,9.166666666666666,2385756.0,9.266666666666667,4655180.4
3000,0.7,7.433333333333334,2521804.3,7.6,4507764.433333334
3000,0.8,5.833333333333333,2016467.4666666666,5.7,3442711.933333333
3000,0.9,4.333333333333333,1254729.7,4.233333333333333,2779059.533333333
